Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups
Payroll Services - HRPAYP08 NUMBER OF PAYMENT SUMMARY NOTICES ISSUED 1 WORKING DAY BEFORE 14 JULY,Payroll Services - HRPAYP08 NUMBER OF PAYMENT SUMMARY NOTICES ISSUED 1 WORKING DAY BEFORE 14 JULY,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/8282360e-1282-483a-9115-7a6d98745b59,2016-06-27T03:54:33.862897,2016-06-29T06:28:30.106012,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - HRPAYP09 NUMBER OF CALLS RECEIVED AT SSSA,Payroll Services - HRPAYP09 NUMBER OF CALLS RECEIVED AT SSSA,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/80984c0c-3d8e-4213-aecd-0530a32709ad,2016-06-27T03:55:28.136905,2016-06-30T04:23:48.371374,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - HRPAYP12 AVERAGE CALL DURATION IN SECONDS,Payroll Services - HRPAYP12 AVERAGE CALL DURATION IN SECONDS,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/e8213062-80f7-44de-9865-26bf2c50aa2c,2016-06-27T03:56:33.617683,2016-06-30T04:28:38.886011,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - HRPAYP16 CALLS ANSWERED SUCCESSFULLY,Payroll Services - HRPAYP16 CALLS ANSWERED SUCCESSFULLY FY16,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/ef3adfc8-e273-483a-a5b6-eddc97e55c5a,2016-06-27T03:57:36.666592,2016-06-30T04:35:39.662844,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - HRPAYP17 CALLS ANSWERED WITHIN 50 SECONDS,Payroll Services - HRPAYP17 CALLS ANSWERED WITHIN 50 SECONDS FY16,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/b6157541-d596-4d21-ac85-8dfa739c5aed,2016-06-27T03:58:34.528322,2016-06-30T04:36:04.998417,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - Increment Transactions Received and Completed,Payroll Services - Increment Transactions Received and Completed ,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/1f65485f-4b42-482a-b9fc-78978172c5c7,2016-06-27T23:08:11.422885,2016-06-30T05:12:06.899372,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,,government-reporting-and-policy
Payroll Services - Leave Audit Requests Received and Completed,Payroll Services - Leave Audit Requests Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/a9c7c198-a5b9-4115-b7ac-087df433ee9d,2016-06-27T23:09:00.255385,2016-06-30T05:16:27.471723,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - Leave Booking Transactions Received and Completed,Payroll Services - Leave Booking Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/0444c5ea-646c-40f8-8c81-2ffe2ae3a548,2016-06-27T23:09:48.904954,2016-06-30T05:13:03.869817,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,,government-reporting-and-policy
Payroll Services - New Starter Transactions Received and Completed,Payroll Services - New Starter Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/2167d67a-8cba-4449-a306-cac688d8a7c2,2016-06-27T23:10:29.614707,2016-06-30T04:29:09.487502,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - Personal Data Change Transactions Received and Completed,Payroll Services - Personal Data Change Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/613ed1e0-9e08-41e3-bc7d-dbe37b0ecca3,2016-06-27T23:11:19.886382,2016-06-30T04:27:30.832612,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - Position Maintenance Transactions Received and Completed,Payroll Services - Position Maintenance Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/cd05f57e-eacb-4a64-be76-2b0cd2033fd2,2016-06-27T23:12:12.743895,2016-06-30T04:58:32.881920,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - Purchase Leave Requests Received and Completed,Payroll Services - Purchase Leave Requests Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/94b2c78f-bad8-42c0-b8ee-c6178ffd0763,2016-06-27T23:12:57.267812,2016-06-29T06:21:58.309036,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - Salary and Contract Variation Requests Received and Completed,Payroll Services - Salary and Contract Variation Requests Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/a80956f3-9b5b-4a5a-8bf0-b62037065bf1,2016-06-27T23:13:47.324139,2016-06-30T05:56:53.887565,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - Salary Sacrifice Refund Requests Received and Completed,Payroll Services - Salary Sacrifice Refund Requests Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/6c06bd47-1557-4fb0-8452-ef0bb7fc4150,2016-06-27T23:14:32.570599,2016-06-30T05:17:12.089836,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - Superannuation Transactions Received and Completed,Payroll Services - Superannuation Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/e579044c-4db9-429f-8ea1-ff28f73b6790,2016-06-27T23:15:22.243104,2016-06-30T05:12:32.795090,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - Supplimentary Payroll Transactions or Requests Received and Completed,Payroll Services - Supplimentary Payroll Transactions or Requests Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/d0aaad69-e9e1-4323-89e2-4dae38785ae2,2016-06-27T23:16:04.278230,2016-06-30T05:13:31.822545,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - Timesheets Received and Completed,Payroll Services - Timesheets Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/4578c62b-ad1a-4cff-803b-06f67d21409e,2016-06-27T23:17:01.369746,2016-06-29T06:21:06.861668,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Services - Workers Compensation Transactions Received and Completed,Payroll Services - Workers Compensation Transactions Received and Completed,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/48419b3b-497a-4379-a754-57226994ca30,2016-06-27T23:18:43.833431,2016-06-30T05:14:06.792016,datasa@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,Payroll Services,government-reporting-and-policy
Payroll Tax Small Business Rebate,The small business payroll tax rebate operates from 2013-14 to 2019-20 and is provided to eligible employers with a taxable Australian payroll of less than or equal to $1.2 million.,dataset,English,Creative Commons Attribution,active,Linked,monthly,/data/dataset/bd531ee0-fc79-4b25-9630-2abd296022da,2016-09-08T06:26:32.920847,2016-09-08T06:28:54.673365,CommServices@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Department of Treasury and Finance,"payroll, rebate, tax",finance-and-employment
Pedestrian Crossings,South Australian intersections pedestrian crossing locations and information.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/2d972378-33e0-4be3-a412-c65a02fccb25,2014-07-04T05:26:00.695569,2020-02-24T02:10:07.386086,nick.avraam@sa.gov.au,Data will be updated on an irregular basis.,Not Known,Not Known,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","intersections, pedestrian, railways, roads",transport-travel-and-motoring
Pharmacy Regulation Authority SA (PRASA) - 2017,Pharmacy Regulation Authority SA Annual Report Data ,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/0c08116a-ec86-4352-be80-4201ab71a66f,2017-09-11T03:46:03.240846,2018-09-18T23:37:23.129822,peter.halstead@pharmacyauthority.sa.gov.au,Annual by state,2012-07-01,2017-06-30,South Australia,Government of South Australia,data.sa.gov.au,Pharmacy Regulation Authority SA (PRASA),"Annual Report, Complaints, Consultants, Data, Executive, Fraud, Health, Whistle-blowers Disclosure",health-and-wellbeing
Pharmacy Regulation Authority SA (PRASA) - 2018,Pharmacy Regulation Authority SA Annual Report Data,dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/c2dc89b4-95ca-4900-9caa-aa737d8bd1d2,2018-09-18T23:40:33.862773,2018-11-09T00:40:05.183951,reception@pharmacyauthority.sa.gov.au,,2017-07-01,2018-06-30,South Australia,Government of South Australia,data.sa.gov.au,Pharmacy Regulation Authority SA (PRASA),"Annual report data, Compalints, consultants, Executive Emlpoyment, Fraud, Health, Whistle Blower Disclosures",health-and-wellbeing
Pharmacy Regulation Authority SA (PRASA) : (2018 - 2019),Pharmacy Regulation Authority SA (PRASA) : (2018 - 2019),dataset,English,Creative Commons Attribution,active,Linked,never,/data/dataset/b2ebd53f-a9b1-4257-a16b-751e254375a5,2019-05-31T01:22:53.510777,2019-10-21T22:44:44.731173,reception@pharmacyauthority.sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Pharmacy Regulation Authority SA (PRASA),,
Photographs relating to Sir Ross Smith and Sir Keith Smith,"Photographs relating to Sir Ross Smith and Sir Keith Smith and the 1919 Epic Flight from England to Australia. For more information about the Smith brothers and their prize-winning flight see the State Library of South Australia's [Sir Ross and Sir Keith Smith, pioneer aviators](https://digital.collections.slsa.sa.gov.au/pages/smith-brothers ""Sir Ross and Sir Keith Smith, pioneer aviators"") website.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/91181472-c11c-4bd9-9045-82cfe3a67175,2019-06-20T04:28:06.459148,2019-08-29T04:34:28.134125,peter.jenkins@sa.gov.au,,1892-01-01,2018-12-31,Global,Government of South Australia,data.sa.gov.au,State Library of South Australia,"historic photographs, history, state library of south australia",
Picnic Tables,This dataset provides locations of all the picnic tables that exist within the Adelaide City Council area.,dataset,,Creative Commons Attribution,active,Linked,Annually,/data/dataset/6553ff25-8b5c-462b-906c-cbfdda54b68b,2014-06-05T01:40:03.956449,2016-06-08T07:14:47.553625,DataSA@sa.gov.au,GPS location and the table type,Current,N/A,Adelaide & North Adelaide,Local Government,data.sa.gov.au,City of Adelaide,"leisure, picnic tables, planning, recreation, tables","housing-land-planning-and-infrastructure, sports-and-recreation"
Planned urban lands to 2045 (Urban Boundary),The Planned urban lands to 2045 is the outer limit for areas to be considered for urban development as shown in the 30 Year Plan for Greater Adelaide 2017 Update. More information: http://livingadelaide.sa.gov.au/,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/866ede4e-e6e6-4792-9f55-c78adfad0e38,2017-06-04T23:22:18.614367,2020-02-19T00:14:54.606568,DPTI.PDPlanningInformation@sa.gov.au,,2017-03-01,Current,Greater Adelaide Planning Region,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Boundary, Development, Planning, Urban","business-industry-and-trade, housing-land-planning-and-infrastructure"
Planning and Design Code Overlays,"Planning and Design Code (P&D Code) Overlays are layers in the P&D Code under the Planning, Development and Infrastructure Act 2016 (PDI Act 2016). P&D Code Overlays identify areas where specific P&D Code policies are applicable or where an area may be subject to referrals.",dataset,English,Creative Commons Attribution,active,Linked,weekly,/data/dataset/ef82af6a-b57b-426b-949e-1ff97969fc1c,2019-07-12T05:50:09.017017,2019-07-12T05:57:57.160517,DPTI.PDPlanningInformation@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","code, design, development, planning",
Planning and Design Code Zones,"Planning and Design Code (P&D Code) Zones is the primary layer in the P&D Code under the Planning, Development and Infrastructure Act 2016. P&D Code Zones represent the spatial boundaries that provide guidance for development on 'what' can happen in an area. For areas of the state not currently covered by P&D Code Zones refer to the Land Development Zones.",dataset,English,Creative Commons Attribution,active,Linked,weekly,/data/dataset/8321117d-2712-4912-9c47-a52ddb6b527f,2019-06-28T06:46:34.630791,2019-07-12T05:40:13.852786,DPTI.PDPlanningInformation@sa.gov.au,,,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","development, Development Zones, planning",housing-land-planning-and-infrastructure
Planning and Development Fund Investment Projects,"The Planning and Development Fund provides investment into the planning and improvement of open space and public realm in South Australia. The Planning and Development Fund provides strategic investment towards State Government projects and supports two grant programs:

-    Open Space - to assist the conservation and enhancement of natural and cultural open spaces  
-    Places for People - to create or revitalise public spaces that are important to the social, cultural and economic life of their communities.

The Planning and Development Fund also provides investment in other strategic public space projects.
The purpose of this data is to show the location and distribution of Planning and Development Fund investment between 2010/11 and 2016/17.
For more information see: 
https://www.sa.gov.au/topics/planning-and-property/land-and-property-development/planning-professionals/grants-for-open-space-and-urban-design 
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/c7f68ea8-ffde-46d7-973f-9cac48e688ed,2017-10-11T23:58:45.231759,2020-02-18T23:58:52.269251,DPTI.PublicSpaceGrants@sa.gov.au,,2010-07-01,Current,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Funding, Grants, Human Environment, Open Space, Planning",housing-land-planning-and-infrastructure
Planning Zones and Policy Areas,"Provides locations and details of planning zones and policy areas of the Adelaide City area as per the Adelaide City Development Plan.

Co-ordinate System:
Geographic Coordinate System:  GCS_WGS_1984.
Datum: D_WGS_1984.
Prime Meridian: Greenwich.
Angular Unit: Degree.
",dataset,,Creative Commons Attribution,active,Linked,annually,/data/dataset/50c46577-62c0-4479-aa21-df3fcc3c0aae,2013-05-17T05:45:50.087431,2016-06-08T02:00:51.930065,DataSA@sa.gov.au,Shows annual planning and policy zone areas ,Current,N/A,Adelaide & North Adelaide,Local Government,data.sa.gov.au,N/A,"areas, business, Council, development, infrastructure, land, Planning, Policy, Zones",housing-land-planning-and-infrastructure
Dog Register,List of current dog register records,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/96573cbe-f646-4e70-8a17-8ec25c8b3eef,2015-06-29T14:30:08.429165,2015-06-29T14:36:03.849373,playford@playford.sa.gov.au,,2014-06-29,2015-06-29,City of Playford LGA,Government of South Australia,data.sa.gov.au,City of Playford,"animal, breeds, colours, dog, playford, register",government-reporting-and-policy
Playford WWI service record,Persons from the Playford LGA who served in WWI,dataset,English,Creative Commons Attribution,active,Linked,never,/data/dataset/dd448c4c-c54d-4362-9450-bd0af4b03419,2015-06-29T14:43:32.408331,2015-06-30T23:47:47.327850,playford@playford.sa.gov.au,,1914-07-28,1918-11-11,South Australia,Government of South Australia,data.sa.gov.au,City of Playford,"History, Playford, Service records, WWI",arts-culture-history
Playgrounds in the City of Port Adelaide Enfield,"Playgrounds in Port Adelaide Enfield are presented through the Council's own website for open geospatial data. Formats available are SHP, KML, CSV, GeoJson and WMS. (all in geographic latitude and longitude except the Shapefile which is GDA 1994 MGA Zone 54)
Both a Polygon map layer and a Point map layer are available.",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/141bda74-8b83-4d59-b8c0-c4d52931c9e9,2015-05-28T07:11:58.987651,2019-09-09T04:12:37.900668,service@cityofpae.sa.gov.au,Unit level,2019-09-02,,"City of Port Adelaide Enfield [Lat: -34.757 to -34.893, Lon: 138.462 to 138.674]",Local Government,data.sa.gov.au,Port Adelaide Enfield Council,"council, parks, playgrounds, port adelaide enfield, recreation, reserves","community-information-and-citizen-services, sports-and-recreation"
Points of Interest in the City of Port Adelaide Enfield,"Point spatial layer of points of interest in the City of Port Adelaide Enfield. Includes major shopping centres, museums, community centres, libraries, major industrial sites, TAFE campuses and tourist and boating facilities.
Data available to download in various formats from Council's open data portal.",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/1c5f3023-527a-46a9-baa7-5930f4562c7d,2015-06-01T04:16:23.955927,2019-02-13T05:33:36.990950,service@cityofpae.sa.gov.au,Unit level,2018-04-06,,"City of Port Adelaide Enfield [Lat: -34.757 to -34.893, Lon: 138.462 to 138.674]",Local Government,data.sa.gov.au,Port Adelaide Enfield Council,"community, council, facilities, points of interest, port adelaide enfield, tourism","community-information-and-citizen-services, sports-and-recreation"
Mt Lofty Ranges Streams  Permanent Pools or Dams Greater than 15m,This dataset portrays all of the pools or dams with a length greater than 15m visible in 3rd order streams and greater in the Mount Lofty Ranges.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/0d99de21-7201-4411-8516-b07cbc336fdc,2013-05-17T09:09:54.387193,2020-02-19T00:42:13.767685,DEWNR.CustomerServiceCentre@sa.gov.au,N/A,2004,,Mount Lofty Ranges,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"Drainage, Surfacewater, Watercourses, Water Management",water-energy-resources-environment-and-science
Mt Lofty Ranges Streams  Permanent Pools or Dams Less than 15m,This dataset portrays all of the pools or dams with a length less than 15m visible in 3rd order streams and greater in the Mount Lofty Ranges.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/d90d6075-4b7c-49a3-9aab-094103471889,2013-05-18T13:47:34.302017,2020-02-19T00:41:50.859195,DEWNR.CustomerServiceCentre@sa.gov.au,N/A,2004,,Mount Lofty Ranges,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"Dams, Drainage, Pool, Surfacewater, Water, Watercourses",water-energy-resources-environment-and-science
Popular Baby Names,"List of male and female baby names in South Australia from 1944 to 2018.

The annual data for baby names is published January/February each year.",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/9849aa7f-e316-426e-8ab5-74658a62c7e6,2013-05-17T04:44:56.866379,2020-02-21T02:55:24.921077,DataSA@sa.gov.au,,1944-01-01,2018-12-31,South Australia,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"2019 baby names, adelaide baby names, Baby, baby names, baby names adelaide, baby names south australia, births, female, male, Names, names registered, Popular, registered","arts-culture-history, government-reporting-and-policy, community-information-and-citizen-services"
Population by Age and Sex,"Contains latest available estimates by age and sex of the resident populations of areas of Australia as at 30 June. These estimates are provided for Statistical Areas Level 2 - 4 (SA2s - SA4s), Greater Capital City Statistical Areas (GCCSAs), and states and territories of Australia according to the current edition of the Australian Statistical Geography Standard (ASGS).

Estimates are also provided for Local Government Areas (LGAs).",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/112e8caf-f991-4322-afc9-2013750f4996,2013-04-14T23:35:39.355320,2017-01-23T03:46:58.920194,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"age, estimates, population, sex, statistics",community-information-and-citizen-services
Australian Demographic Statistics (population estimates),"Quarterly estimates of total resident population for states, territories and Australia. Includes estimates of the population by sex in five-year age groups; numbers (and some rates) of births, deaths, infant deaths, interstate and overseas movements; quarterly and/or annual time series spreadsheets; projected resident population for states, territories and Australia; and projected number of households for capital cities, states territories and Australia.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/9301d6e2-2f35-4a26-b785-c24193927110,2013-04-12T05:37:46.229309,2017-01-23T03:29:14.935928,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"census, housing, population, statistics",housing-land-planning-and-infrastructure
Population Projections,"Contains projections (based on different assumptions of future fertility, mortality and migration) of the resident population of Australia, the states and territories, capital cities and balance of states, by age and sex for the base year to 2101 (for Australia) and for the base year to 2061 (for the states and territories, capital cities and balances of states). Also includes summary measures such as percentages of population in selected age groups and median ages as well as detailed notes on the assumptions used.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/aaa916c6-78fd-4a25-8571-e1069201e3cc,2013-04-14T23:46:13.476029,2017-01-23T04:02:43.133442,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"population, projections, statistics",housing-land-planning-and-infrastructure
Population Projections for SA,"Official population projections for:
	South Australia and regions for 2016 to 2041
	Local government areas (LGAs) and Statistical Areas level 2 (SA2s) for 2016 to 2036.
Users should familiarise themselves with the assumptions, qualifications and background information provided on the DPTI population projections webpage at http://www.dpti.sa.gov.au/planning/population in order to choose the projection that best suits their needs.
Updated every 5 years.
",dataset,English,Creative Commons Attribution,active,Linked,other,/data/dataset/b667a56a-8959-41bc-a7cc-68e5bc858841,2014-02-28T05:18:58.016250,2020-04-15T05:48:06.154649,DPTI.PDPlanningInformation@sa.gov.au ,Statistical Division,2016-01-01,2036-12-31,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","people, population, population projections, projections",housing-land-planning-and-infrastructure
Port Augusta Air Quality monitoring station meteorology data,The Environment Protection Authority (EPA) monitors South Australian airsheds in order to assess the air quality and provide information that can be used to guide management decisions. This data set contains validated meteorology data for the Spencer Gulf region.,dataset,English,Creative Commons Attribution,active,Linked,monthly,/data/dataset/46d170cb-110d-4e72-b509-9fb7fe20a3c0,2018-11-16T03:29:03.835280,2020-06-19T07:16:19.607592,epainfo@epa.sa.gov.au,,2018-01-01,Current,South Australia,Government of South Australia,data.sa.gov.au,Environment Protection Authority (EPA),"community, environment, meteorology, services, Spencer Gulf, weather, wind",water-energy-resources-environment-and-science
Port Augusta Air Quality monitoring station particle data,The Environment Protection Authority (EPA) monitors South Australian airsheds in order to assess the air quality and provide information that can be used to guide management decisions. This data set contains validated particle pollution data for the Port Augusta region. This site was commissioned in March 2017.,dataset,English,Creative Commons Attribution,active,Linked,monthly,/data/dataset/f4cc5baf-8801-43b7-be00-6a0983cb36da,2017-05-01T04:51:22.535614,2020-06-19T07:04:53.302882,epainfo@epa.sa.gov.au,1 hour averaged data,2017-03-08,,South Australia,Government of South Australia,data.sa.gov.au,Environment Protection Authority (EPA),"air pollution, air quality, community, particles, Port Augusta, quality",water-energy-resources-environment-and-science
Port Pirie High Volume Sampler Air Quality monitoring stations lead (Pb) data,The Environment Protection Authority (EPA) monitors South Australian airsheds in order to assess the air quality and provide information that can be used to guide management decisions. This data set contains validated High Volume Sampler (HVS) lead (Pb) data.,dataset,English,Creative Commons Attribution,active,Linked,monthly,/data/dataset/a7ef9046-af83-496a-b02d-bf7e083df484,2018-11-29T23:51:20.396037,2020-06-19T07:09:56.024305,epainfo@epa.sa.gov.au,,2009-01-01,Current,South Australia,Government of South Australia,data.sa.gov.au,Environment Protection Authority (EPA),"air pollution, air quality, community, environment, lead, Port Pirie, quality, services, Spencer Gulf",
Port Pirie Oliver St Air Quality monitoring station meteorology data,The Environment Protection Authority (EPA) monitors South Australian airsheds in order to assess the air quality and provide information that can be used to guide management decisions. This data set contains validated meteorology data for the Spencer Gulf region.,dataset,English,Creative Commons Attribution,active,Linked,monthly,/data/dataset/dc14fe98-01be-4dbc-bcec-5eb7e5ecbea9,2018-11-16T03:41:33.931606,2020-06-19T07:16:57.473461,epainfo@epa.sa.gov.au,,2018-01-01,Current,South Australia,Government of South Australia,data.sa.gov.au,Environment Protection Authority (EPA),"community, environment, meteorology, services, Spencer Gulf, weather, wind",water-energy-resources-environment-and-science
"Port Pirie, Oliver Street Air Quality monitoring station gaseous data",The Environment Protection Authority (EPA) monitors South Australian airsheds in order to assess the air quality and provide information that can be used to guide management decisions. This data set contains validated gaseous pollution data for the Spencer Gulf region.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/23ee994a-4d9e-4d40-bdd0-6bf4c949c0ee,2014-06-22T15:24:37.911144,2020-06-19T07:06:01.282478,epainfo@epa.sa.gov.au,2013-2014 - 10 minute averaged data; From 2015 - 1 hour averaged data,2013-01-01,2016-06-01,Spencer Gulf Region,Government of South Australia,data.sa.gov.au,Environment Protection Authority (EPA),"air pollution, air quality, community, environment, gaseous, Port Pirie, quality, services, Spencer Gulf, sulfur dioxide",water-energy-resources-environment-and-science
"Port Pirie, Oliver Street  Air Quality monitoring station particle data",The Environment Protection Authority (EPA) monitors South Australian airsheds in order to assess the air quality and provide information that can be used to guide management decisions. This data set contains validated particle pollution data for the Spencer Gulf region.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/d618faaa-c14c-4014-afde-5929b0a96eef,2014-06-22T15:35:37.168755,2020-06-19T07:06:51.944326,epainfo@epa.sa.gov.au,2013-2014 - 10 minute averaged data; From 2015 - 1 hour averaged data,2013-01-01,2016-06-01,Spencer Gulf Region,Government of South Australia,data.sa.gov.au,Environment Protection Authority (EPA),"air pollution, air quality, community, environment, particles, Port Pirie, quality, services, Spencer Gulf",water-energy-resources-environment-and-science
Premier's Climate Change Council Annual Report Data,Premier's Climate Change Council Annual Report Data,dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/441fe837-593b-4d07-b21a-1ee31ea736c2,2017-07-21T05:01:41.063800,2020-01-06T03:34:38.717069,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"climate change, environment, government","water-energy-resources-environment-and-science, government-reporting-and-policy"
Premiers Community Initiatives Fund,"The Premiers Community Initiatives Fund has been established by the Premier of South Australia to provide financial assistance to organisations that offer direct services and support to members of the South Australian Community, but do not receive mainstream funding.
The Premiers Community Initiatives Fund provides financial assistance for projects that benefit people who are disadvantaged, people with a disability or socially isolated members of the South Australian community.
The objective of the Fund is to make available grants of up to $10,000 to assist organisations to undertake a one-off project that will benefit the South Australian community.
The dataset contains information on the successful and unsuccessful organisations, the projects and outcomes, location of the project by suburb and electorate and the approved amount of the grant.
",dataset,,Creative Commons Attribution,active,Hosted,annually,/data/dataset/c4cf212a-bfa8-475c-b400-32f13094f769,2014-07-02T23:48:29.496780,2015-03-03T08:13:44.314346,,N/A,2008-09 to 2012-13,N/A,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,community grants,community-information-and-citizen-services
Preschool Eligible Enrolments,"List of South Australian Government Preschools with the number of children enrolled in their eligible year, as at the most recent data collection (Term 3 2012).",dataset,,Creative Commons Attribution,active,Hosted,asRequired,/data/dataset/3533190b-1ff9-44a9-8b9b-1685d9c21e8d,2013-05-27T07:13:56.032445,2016-06-08T06:02:59.109984,DataSA@sa.gov.au,N/A,N/A,N/A,South Australia,Government of South Australia,data.sa.gov.au,Department for Education,"Children, Demographics, education, Enrolment, Kindergarten, Participation, Preschool",education-skills-and-learning
